Products,Price,Client,Client Code,Orders,Total
51993Masc,$9.98,Candy's Beauty Supply,PINNC980,191,"$1,906.18"
49631Foun,$14.49,Rockland's,ARLVA283,152,"$2,202.48"
42292Glos,$6.74,Rudiger Pharmacy,CHEMD763,758,"$5,108.92"
86661Shad,$5.71,Elizabethtown Supply,COLSC761,308,"$1,758.68"
49541Eyel,$7.94,Rockland's,ARLVA425,50,$397.00
58337Foun,$13.57,Candy's Beauty Supply,PINNC939,673,"$9,132.61"
40014Masc,$8.46,Elizabethtown Supply,COLSC649,94,$795.24
86139Lips,$5.55,Candy's Beauty Supply,PINNC496,299,"$1,659.45"
69601Exfo,$11.05,Rockland's,ARLVA851,850,"$9,392.50"
25331Glos,$7.58,Rockland's,ARLVA924,169,"$1,281.02"
85021Foun,$11.75,Rudiger Pharmacy,CHEMD339,707,"$8,307.25"
69030Masc,$10.95,Elizabethtown Supply,COLSC970,461,"$5,047.95"
13230Masc,$0.73,Rockland's,ARLVA519,278,$202.94
91559Eyel,$6.66,Candy's Beauty Supply,PINNC674,444,"$2,957.04"
62289Masc,$12.06,Elizabethtown Supply,COLSC887,797,"$9,611.82"
64762Foun,$12.95,Rudiger Pharmacy,CHEMD913,355,"$4,597.25"
52341Foun,$13.09,Elizabethtown Supply,COLSC741,232,"$3,036.88"
68713Exfo,$15.77,Rockland's,ARLVA727,514,"$8,105.78"
35073Foun,$11.82,Elizabethtown Supply,COLSC813,189,"$2,233.98"
17691Masc,$11.22,Elizabethtown Supply,COLSC533,621,"$6,967.62"
03485Eyel,$7.00,Rudiger Pharmacy,CHEMD887,461,"$3,227.00"
26156Foun,$12.01,Candy's Beauty Supply,PINNC615,146,"$1,753.46"
75112Foun,$13.24,Elizabethtown Supply,COLSC133,261,"$3,455.64"
96799Foun,$10.07,Rudiger Pharmacy,CHEMD365,602,"$6,062.14"
20559Shad,$4.33,Elizabethtown Supply,COLSC201,225,$974.25
32729Masc,$13.13,Elizabethtown Supply,COLSC481,972,"$12,762.36"
63094Exfo,$16.94,Candy's Beauty Supply,PINNC547,362,"$6,132.28"
61207Foun,$9.83,Rudiger Pharmacy,CHEMD323,588,"$5,780.04"
17269Masc,$14.95,Rockland's,ARLVA876,381,"$5,695.95"
15143Exfo,$20.04,Rudiger Pharmacy,CHEMD584,782,"$15,671.28"